Name,Indicator,2016,2017
Number of Data Companies,Total number of data companies (000s),289556000,302810000
Value of the Data Market,Estimate of the overall a value of the data market (Million €),129173000000,145545000000
Value of the Data Economy (Only Direct and Backward Indirect impacts),Direct Impacts  (Million €),108520000000,113676000000
Incidence of the Data Economy on GDP  (Only direct and backward indirect impacts),Ratio between value of the data economy and GDP (%),0.7763333982806,0.8093463614705
